county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,county_full_with_state
Los Angeles,Los Angeles,Los Angeles County,6037,CA,California,34.3219,-118.2247,9936690,"Los Angeles County, CA"
Cook,Cook,Cook County,17031,IL,Illinois,41.8401,-87.8168,5225367,"Cook County, IL"
Harris,Harris,Harris County,48201,TX,Texas,29.8578,-95.3938,4726177,"Harris County, TX"
Maricopa,Maricopa,Maricopa County,4013,AZ,Arizona,33.349,-112.4915,4430871,"Maricopa County, AZ"
San Diego,San Diego,San Diego County,6073,CA,California,33.0343,-116.7351,3289701,"San Diego County, CA"
Orange,Orange,Orange County,6059,CA,California,33.7031,-117.7609,3175227,"Orange County, CA"
Miami-Dade,Miami-Dade,Miami-Dade County,12086,FL,Florida,25.615,-80.5624,2688237,"Miami-Dade County, FL"
Kings,Kings,Kings County,36047,NY,New York,40.6413,-73.9383,2679620,"Kings County, NY"
Dallas,Dallas,Dallas County,48113,TX,Texas,32.7666,-96.7778,2604053,"Dallas County, TX"
Riverside,Riverside,Riverside County,6065,CA,California,33.7437,-115.9938,2429487,"Riverside County, CA"
Queens,Queens,Queens County,36081,NY,New York,40.7035,-73.8196,2360826,"Queens County, NY"
Clark,Clark,Clark County,32003,NV,Nevada,36.2152,-115.0135,2265926,"Clark County, NV"
King,King,King County,53033,WA,Washington,47.4902,-121.8052,2254371,"King County, WA"
San Bernardino,San Bernardino,San Bernardino County,6071,CA,California,34.8414,-116.1785,2180563,"San Bernardino County, CA"
Tarrant,Tarrant,Tarrant County,48439,TX,Texas,32.7719,-97.2911,2113854,"Tarrant County, TX"
Bexar,Bexar,Bexar County,48029,TX,Texas,29.4489,-98.52,2014059,"Bexar County, TX"
Broward,Broward,Broward County,12011,FL,Florida,26.1523,-80.4871,1940907,"Broward County, FL"
Santa Clara,Santa Clara,Santa Clara County,6085,CA,California,37.2318,-121.6951,1916831,"Santa Clara County, CA"
Wayne,Wayne,Wayne County,26163,MI,Michigan,42.2822,-83.283,1781641,"Wayne County, MI"
Alameda,Alameda,Alameda County,6001,CA,California,37.6469,-121.8887,1663823,"Alameda County, CA"
New York,New York,New York County,36061,NY,New York,40.7793,-73.9668,1645867,"New York County, NY"
Middlesex,Middlesex,Middlesex County,25017,MA,Massachusetts,42.4856,-71.3918,1623109,"Middlesex County, MA"
Philadelphia,Philadelphia,Philadelphia County,42101,PA,Pennsylvania,40.0077,-75.1339,1593208,"Philadelphia County, PA"
Sacramento,Sacramento,Sacramento County,6067,CA,California,38.4493,-121.3443,1579211,"Sacramento County, CA"
Suffolk,Suffolk,Suffolk County,36103,NY,New York,40.8681,-72.8454,1524486,"Suffolk County, NY"
Palm Beach,Palm Beach,Palm Beach County,12099,FL,Florida,26.6476,-80.4655,1494805,"Palm Beach County, FL"
Hillsborough,Hillsborough,Hillsborough County,12057,FL,Florida,27.9292,-82.3088,1468560,"Hillsborough County, FL"
Bronx,Bronx,Bronx County,36005,NY,New York,40.8501,-73.8671,1443229,"Bronx County, NY"
Orange,Orange,Orange County,12095,FL,Florida,28.5144,-81.3235,1427403,"Orange County, FL"
Nassau,Nassau,Nassau County,36059,NY,New York,40.7326,-73.5862,1389160,"Nassau County, NY"
Franklin,Franklin,Franklin County,39049,OH,Ohio,39.9695,-83.0093,1318149,"Franklin County, OH"
Travis,Travis,Travis County,48453,TX,Texas,30.3344,-97.782,1289054,"Travis County, TX"
Oakland,Oakland,Oakland County,26125,MI,Michigan,42.6604,-83.3858,1272264,"Oakland County, MI"
Hennepin,Hennepin,Hennepin County,27053,MN,Minnesota,45.0046,-93.477,1270787,"Hennepin County, MN"
Cuyahoga,Cuyahoga,Cuyahoga County,39035,OH,Ohio,41.4243,-81.6586,1256620,"Cuyahoga County, OH"
Allegheny,Allegheny,Allegheny County,42003,PA,Pennsylvania,40.4688,-79.9812,1245310,"Allegheny County, PA"
Salt Lake,Salt Lake,Salt Lake County,49035,UT,Utah,40.6673,-111.9236,1180643,"Salt Lake County, UT"
Contra Costa,Contra Costa,Contra Costa County,6013,CA,California,37.9192,-121.9275,1162648,"Contra Costa County, CA"
Fairfax,Fairfax,Fairfax County,51059,VA,Virginia,38.8368,-77.277,1145354,"Fairfax County, VA"
Wake,Wake,Wake County,37183,NC,North Carolina,35.7903,-78.6503,1132103,"Wake County, NC"
Mecklenburg,Mecklenburg,Mecklenburg County,37119,NC,North Carolina,35.2467,-80.8328,1115403,"Mecklenburg County, NC"
Collin,Collin,Collin County,48085,TX,Texas,33.188,-96.5724,1079153,"Collin County, TX"
Fulton,Fulton,Fulton County,13121,GA,Georgia,33.7902,-84.467,1061944,"Fulton County, GA"
Montgomery,Montgomery,Montgomery County,24031,MD,Maryland,39.1363,-77.2042,1056910,"Montgomery County, MD"
Pima,Pima,Pima County,4019,AZ,Arizona,32.0974,-111.7899,1042393,"Pima County, AZ"
Honolulu,Honolulu,Honolulu County,15003,HI,Hawaii,21.5009,-158.106,1010100,"Honolulu County, HI"
Fresno,Fresno,Fresno County,6019,CA,California,36.7582,-119.6493,1008280,"Fresno County, CA"
St. Louis,St. Louis,St. Louis County,29189,MO,Missouri,38.6407,-90.4434,999703,"St. Louis County, MO"
Westchester,Westchester,Westchester County,36119,NY,New York,41.1626,-73.7561,997904,"Westchester County, NY"
Duval,Duval,Duval County,12031,FL,Florida,30.3313,-81.6715,995708,"Duval County, FL"
Capitol,Capitol,Capitol Planning Region,9110,CT,Connecticut,41.8185,-72.572,977165,"Capitol Planning Region, CT"
Marion,Marion,Marion County,18097,IN,Indiana,39.7817,-86.1385,971737,"Marion County, IN"
Pinellas,Pinellas,Pinellas County,12103,FL,Florida,27.9198,-82.7255,959918,"Pinellas County, FL"
Gwinnett,Gwinnett,Gwinnett County,13135,GA,Georgia,33.9617,-84.0236,957977,"Gwinnett County, GA"
Prince George's,Prince George's,Prince George's County,24033,MD,Maryland,38.8295,-76.8473,957189,"Prince George's County, MD"
Bergen,Bergen,Bergen County,34003,NJ,New Jersey,40.9597,-74.0742,953243,"Bergen County, NJ"
Erie,Erie,Erie County,36029,NY,New York,42.7639,-78.7323,951232,"Erie County, NY"
Milwaukee,Milwaukee,Milwaukee County,55079,WI,Wisconsin,43.0072,-87.9669,933063,"Milwaukee County, WI"
DuPage,DuPage,DuPage County,17043,IL,Illinois,41.852,-88.0856,930559,"DuPage County, IL"
Shelby,Shelby,Shelby County,47157,TN,Tennessee,35.1842,-89.894,926440,"Shelby County, TN"
Pierce,Pierce,Pierce County,53053,WA,Washington,47.0239,-122.104,918993,"Pierce County, WA"
Denton,Denton,Denton County,48121,TX,Texas,33.2055,-97.1168,914870,"Denton County, TX"
Kern,Kern,Kern County,6029,CA,California,35.3426,-118.7301,906883,"Kern County, CA"
Macomb,Macomb,Macomb County,26099,MI,Michigan,42.6957,-82.9323,878453,"Macomb County, MI"
Hidalgo,Hidalgo,Hidalgo County,48215,TX,Texas,26.3969,-98.1812,873167,"Hidalgo County, TX"
El Paso,El Paso,El Paso County,48141,TX,Texas,31.7686,-106.2348,863832,"El Paso County, TX"
Middlesex,Middlesex,Middlesex County,34023,NJ,New Jersey,40.4391,-74.4117,860147,"Middlesex County, NJ"
Worcester,Worcester,Worcester County,25027,MA,Massachusetts,42.3514,-71.9077,858898,"Worcester County, MA"
Montgomery,Montgomery,Montgomery County,42091,PA,Pennsylvania,40.2108,-75.3673,856399,"Montgomery County, PA"
Essex,Essex,Essex County,34013,NJ,New Jersey,40.788,-74.2481,853374,"Essex County, NJ"
San Francisco,San Francisco,San Francisco County,6075,CA,California,37.7556,-122.445,851036,"San Francisco County, CA"
Baltimore,Baltimore,Baltimore County,24005,MD,Maryland,39.4627,-76.6393,850737,"Baltimore County, MD"
Ventura,Ventura,Ventura County,6111,CA,California,34.4561,-119.0836,842009,"Ventura County, CA"
Fort Bend,Fort Bend,Fort Bend County,48157,TX,Texas,29.5275,-95.7709,832607,"Fort Bend County, TX"
Snohomish,Snohomish,Snohomish County,53061,WA,Washington,48.0474,-121.6972,828337,"Snohomish County, WA"
Hamilton,Hamilton,Hamilton County,39061,OH,Ohio,39.1955,-84.5428,827671,"Hamilton County, OH"
Multnomah,Multnomah,Multnomah County,41051,OR,Oregon,45.5468,-122.4149,808098,"Multnomah County, OR"
Essex,Essex,Essex County,25009,MA,Massachusetts,42.6732,-70.9524,806103,"Essex County, MA"
Oklahoma,Oklahoma,Oklahoma County,40109,OK,Oklahoma,35.5515,-97.4072,795822,"Oklahoma County, OK"
Suffolk,Suffolk,Suffolk County,25025,MA,Massachusetts,42.3328,-71.0735,785443,"Suffolk County, MA"
San Joaquin,San Joaquin,San Joaquin County,6077,CA,California,37.9348,-121.2714,779445,"San Joaquin County, CA"
Jefferson,Jefferson,Jefferson County,21111,KY,Kentucky,38.1872,-85.6591,779232,"Jefferson County, KY"
Lee,Lee,Lee County,12071,FL,Florida,26.578,-81.8332,772902,"Lee County, FL"
Cobb,Cobb,Cobb County,13067,GA,Georgia,33.9415,-84.5767,765813,"Cobb County, GA"
DeKalb,DeKalb,DeKalb County,13089,GA,Georgia,33.7716,-84.2264,761209,"DeKalb County, GA"
Monroe,Monroe,Monroe County,36055,NY,New York,43.1464,-77.6961,756406,"Monroe County, NY"
San Mateo,San Mateo,San Mateo County,6081,CA,California,37.4228,-122.3291,754250,"San Mateo County, CA"
Polk,Polk,Polk County,12105,FL,Florida,27.9489,-81.6976,736229,"Polk County, FL"
El Paso,El Paso,El Paso County,8041,CO,Colorado,38.8321,-104.5254,730323,"El Paso County, CO"
Norfolk,Norfolk,Norfolk County,25021,MA,Massachusetts,42.1603,-71.2118,722112,"Norfolk County, MA"
Jackson,Jackson,Jackson County,29095,MO,Missouri,39.0085,-94.3461,715526,"Jackson County, MO"
Lake,Lake,Lake County,17097,IL,Illinois,42.3233,-88.0037,713159,"Lake County, IL"
Hudson,Hudson,Hudson County,34017,NJ,New Jersey,40.7408,-74.0751,712029,"Hudson County, NJ"
Denver,Denver,Denver County,8031,CO,Colorado,39.762,-104.8758,710800,"Denver County, CO"
Davidson,Davidson,Davidson County,47037,TN,Tennessee,36.1695,-86.7848,709786,"Davidson County, TN"
Will,Will,Will County,17197,IL,Illinois,41.445,-87.9786,696774,"Will County, IL"
Bernalillo,Bernalillo,Bernalillo County,35001,NM,New Mexico,35.0514,-106.6701,674692,"Bernalillo County, NM"
Jefferson,Jefferson,Jefferson County,1073,AL,Alabama,33.5543,-86.8964,672265,"Jefferson County, AL"
District of Columbia,District of Columbia,District of Columbia,11001,DC,District of Columbia,38.9047,-77.0163,670587,"District of Columbia, DC"
Tulsa,Tulsa,Tulsa County,40143,OK,Oklahoma,36.1211,-95.9415,668923,"Tulsa County, OK"
Utah,Utah,Utah County,49049,UT,Utah,40.1199,-111.6702,666021,"Utah County, UT"
Providence,Providence,Providence County,44007,RI,Rhode Island,41.8721,-71.58,657984,"Providence County, RI"
Kent,Kent,Kent County,26081,MI,Michigan,43.0322,-85.5493,657321,"Kent County, MI"
Arapahoe,Arapahoe,Arapahoe County,8005,CO,Colorado,39.6498,-104.3393,654453,"Arapahoe County, CO"
Bucks,Bucks,Bucks County,42017,PA,Pennsylvania,40.337,-75.1069,645163,"Bucks County, PA"
Monmouth,Monmouth,Monmouth County,34025,NJ,New Jersey,40.2601,-74.2216,643064,"Monmouth County, NJ"
Ocean,Ocean,Ocean County,34029,NJ,New Jersey,39.8856,-74.2814,638691,"Ocean County, NJ"
Montgomery,Montgomery,Montgomery County,48339,TX,Texas,30.3002,-95.503,629989,"Montgomery County, TX"
Western Connecticut,Western Connecticut,Western Connecticut Planning Region,9190,CT,Connecticut,41.3225,-73.4475,620666,"Western Connecticut Planning Region, CT"
Williamson,Williamson,Williamson County,48491,TX,Texas,30.6475,-97.6004,617396,"Williamson County, TX"
Johnson,Johnson,Johnson County,20091,KS,Kansas,38.8838,-94.8223,610742,"Johnson County, KS"
Brevard,Brevard,Brevard County,12009,FL,Florida,28.2937,-80.7323,610723,"Brevard County, FL"
Washington,Washington,Washington County,41067,OR,Oregon,45.56,-123.0984,599541,"Washington County, OR"
Anne Arundel,Anne Arundel,Anne Arundel County,24003,MD,Maryland,39.0065,-76.6051,588109,"Anne Arundel County, MD"
Baltimore,Baltimore,Baltimore City,24510,MD,Maryland,39.3051,-76.6144,584548,"Baltimore City, MD"
Douglas,Douglas,Douglas County,31055,NE,Nebraska,41.2953,-96.1543,582638,"Douglas County, NE"
Jefferson,Jefferson,Jefferson County,8059,CO,Colorado,39.5864,-105.2505,580519,"Jefferson County, CO"
Bristol,Bristol,Bristol County,25005,MA,Massachusetts,41.7972,-71.1144,576699,"Bristol County, MA"
Delaware,Delaware,Delaware County,42045,PA,Pennsylvania,39.9167,-75.3991,575312,"Delaware County, PA"
Union,Union,Union County,34039,NJ,New Jersey,40.6601,-74.31,572079,"Union County, NJ"
South Central Connecticut,South Central Connecticut,South Central Connecticut Planning Region,9170,CT,Connecticut,41.3613,-72.8445,571298,"South Central Connecticut Planning Region, CT"
New Castle,New Castle,New Castle County,10003,DE,Delaware,39.5768,-75.6527,570567,"New Castle County, DE"
Pasco,Pasco,Pasco County,12101,FL,Florida,28.3092,-82.392,569211,"Pasco County, FL"
Dane,Dane,Dane County,55025,WI,Wisconsin,43.0673,-89.4181,559891,"Dane County, WI"
Volusia,Volusia,Volusia County,12127,FL,Florida,29.0584,-81.1819,558520,"Volusia County, FL"
Lancaster,Lancaster,Lancaster County,42071,PA,Pennsylvania,40.0424,-76.2477,553202,"Lancaster County, PA"
Stanislaus,Stanislaus,Stanislaus County,6099,CA,California,37.5591,-120.9977,552063,"Stanislaus County, CA"
Ramsey,Ramsey,Ramsey County,27123,MN,Minnesota,45.0171,-93.0996,547202,"Ramsey County, MN"
Guilford,Guilford,Guilford County,37081,NC,North Carolina,36.0795,-79.7889,539557,"Guilford County, NC"
Summit,Summit,Summit County,39153,OH,Ohio,41.126,-81.5322,539361,"Summit County, OH"
Spokane,Spokane,Spokane County,53063,WA,Washington,47.6207,-117.404,538711,"Spokane County, WA"
Chester,Chester,Chester County,42029,PA,Pennsylvania,39.9731,-75.7484,536474,"Chester County, PA"
Montgomery,Montgomery,Montgomery County,39113,OH,Ohio,39.7547,-84.2907,536121,"Montgomery County, OH"
Plymouth,Plymouth,Plymouth County,25023,MA,Massachusetts,41.9511,-70.8115,529548,"Plymouth County, MA"
Greenville,Greenville,Greenville County,45045,SC,South Carolina,34.8941,-82.3706,528251,"Greenville County, SC"
Sedgwick,Sedgwick,Sedgwick County,20173,KS,Kansas,37.6848,-97.461,522700,"Sedgwick County, KS"
Camden,Camden,Camden County,34007,NJ,New Jersey,39.8035,-74.9597,522581,"Camden County, NJ"
Adams,Adams,Adams County,8001,CO,Colorado,39.8736,-104.3379,520149,"Adams County, CO"
